P51859|HDGF: 0.18930873678376278
P10637|TAU: 0.1892975543936095
Q7TMM9|TBB2A: 0.1892391430446878
Q6R891|NEB2: 0.18872276522840062
P62869|ELOB: 0.18863637163303792
Q8CDN6|TXNL1: 0.1884885785790781
Q9D394|RUFY3: 0.18819812623163065
P21278|GNA11: 0.18814135249704123
P67984|RL22: 0.1881277607753873
Q9Z2I9|SUCB1: 0.18780425935983647
Q80SW1|SAHH2: 0.1876688718330115
Q9Z2Y3|HOME1: 0.18733587628230453
P68040|RACK1: 0.18722859863191843
Q8BGH2|SAM50: 0.18721636881430945
P47791|GSHR: 0.18692127584169307
Q9D7G0|PRPS1: 0.1867096988329043
Q9Z130|HNRDL: 0.18669630866497755
Q9QXL2|KI21A: 0.18636591485119425
Q61151|2A5E: 0.18601651334514221
Q9WTP7|KAD3: 0.1859403270451973
Q9R1P0|PSA4: 0.1859140717036401
O70435|PSA3: 0.18557558953762054
Q05920|PYC: 0.18545053844961024
O08756|HCD2: 0.1850759444447855
Q6Q477|AT2B4: 0.18498822332670292
Q9QYG0|NDRG2: 0.18493271619081497
P32037|GTR3: 0.18452312983572483
Q91VR8|BRK1: 0.18445198889821768
Q8BMF4|ODP2: 0.1844365571935973
P51174|ACADL: 0.1843704761316379
O08532|CA2D1: 0.18413077744965753
Q61081|CDC37: 0.1841238510484497
Q61301|CTNA2: 0.1834721726675828
Q8VEK3|HNRPU: 0.18320872013767558
P70404|IDHG1: 0.18314809600512194
Q9CR16|PPID: 0.18307495225841797
Q99K51|PLST: 0.18304435318956772
Q9CQ92|FIS1: 0.18281611241400242
Q9CZ44|NSF1C: 0.18262149666649446
Q8K2B3|SDHA: 0.18258885542551673
P56382|ATP5E: 0.18233316189919913
P21107|TPM3: 0.1822094720167418
Q9CY58|PAIRB: 0.1821997556835413
P62702|RS4X: 0.1821057035898169
Q9D0M5|DYL2: 0.18204834312200546
Q9CPV4|GLOD4: 0.18167191615793854
Q8R016|BLMH: 0.18143271918719014
P62748|HPCL1: 0.18133632947380343
Q9D1A2|CNDP2: 0.1810906431346666
O55143|AT2A2: 0.1807734991113345
Q9R1V6|ADA22: 0.18056775412211815
P09103|PDIA1: 0.18022006501754126
Q8VDD5|MYH9: 0.18003986217081547
Q9ESN6|TRIM2: 0.17942244404306015
Q8BK64|AHSA1: 0.17910523371150097
Q9D0E1|HNRPM: 0.17903356347233057
P62301|RS13: 0.17897215260503194
Q9CZ30|OLA1: 0.17810372480501732
O08997|ATOX1: 0.1777681529832383
Q60676|PPP5: 0.1777037394543489
Q9Z0P5|TWF2: 0.17759439752747616
Q9CQW1|YKT6: 0.17730094492435455
Q9R0H0|ACOX1: 0.17721681754725674
Q3UM45|PP1R7: 0.17716503880607587
P14869|RLA0: 0.17706819127003354
Q91Z53|GRHPR: 0.17669053375720978
Q9R1V7|ADA23: 0.17645754540959993
Q64514|TPP2: 0.17644104516754547
P0C7L0|WIPF3: 0.17635034304112196
Q9JJU8|SH3L1: 0.17622939124703407
Q8R1Q8|DC1L1: 0.17609394124398628
P15116|CADH2: 0.17604212982890505
Q9Z1P6|NDUA7: 0.17597654151419798
Q60631|GRB2: 0.17587008296201626
P13707|GPDA: 0.17576985309521356
Q02248|CTNB1: 0.17543324719493592
Q922B2|SYDC: 0.17506769858300686
P28474|ADHX: 0.17483801910808933
Q01768|NDKB: 0.17481609433889395
Q62433|NDRG1: 0.1743147550150752
Q3TDK6|ROGDI: 0.17427484722187123
O35143|ATIF1: 0.1737929234902064
P60867|RS20: 0.17378794177784584
Q9QY76|VAPB: 0.17376109996500116
P70414|NAC1: 0.17374103718126813
Q07076|ANXA7: 0.17366509170581898
Q9CQI3|GMFB: 0.17300966645901403
Q68FF6|GIT1: 0.17251484810064238
Q8BH34|SEM3D: 0.1724383512046187
P42208|SEPT2: 0.17232766526285556
P57780|ACTN4: 0.17226767369235557
Q9CQH7|BT3L4: 0.17220218945294619
P47857|PFKAM: 0.17185626799861586
Q5SSL4|ABR: 0.17182438199718794
P62245|RS15A: 0.17123346123844385
Q61206|PA1B2: 0.17097417203088602
Q9CZM2|RL15: 0.1709183044731617
Q62443|NPTX1: 0.17084900941699743
Q99LD4|CSN1: 0.17084733800341687
Q9D855|QCR7: 0.1707615628838539
P28660|NCKP1: 0.17050538945477456
P99026|PSB4: 0.1701408758138617
O88342|WDR1: 0.16991365204254794
Q9Z0S1|BPNT1: 0.16943101786697903
Q9WV34|MPP2: 0.1693839138218512
P48771|CX7A2: 0.1692888463536898
P62835|RAP1A: 0.16922359137485424
P10854|H2B1M: 0.1691276969698568
P60335|PCBP1: 0.16897416363159812
Q9ER00|STX12: 0.16893990202030787
P47809|MP2K4: 0.16892934124916792
P60469|LIPA3: 0.16873663617298007
P50153|GBG4: 0.16806021092149118
O55126|NIPS2: 0.16799938306212425
Q3THS6|METK2: 0.1679410757496953
P46460|NSF: 0.16792824864387512
Q3TXS7|PSMD1: 0.16777500975877047
P27659|RL3: 0.16768073548640433
Q78PY7|SND1: 0.16759838877866665
P09671|SODM: 0.16753748804330826
P62751|RL23A: 0.16746569269647202
P85094|ISC2A: 0.1672878492778788
P61957|SUMO2: 0.16723618718485037
P97379|G3BP2: 0.16721386928111315
Q5FWK3|RHG01: 0.16717799147590995
Q80UG5|SEPT9: 0.16712613213652125
Q9JJK2|LANC2: 0.16701891156844795
Q9CPQ8|ATP5L: 0.1667385150988897
P63276|RS17: 0.16665121152376136
P14115|RL27A: 0.1665143109858036
Q9D3A9|TTYH1: 0.1665105897312363
Q9DCD0|6PGD: 0.16645540948957205
O88531|PPT1: 0.1662949559589227
Q9JII6|AK1A1: 0.16615780441982983
Q9WUB3|PYGM: 0.1659119442726175
Q61879|MYH10: 0.16589414010134834
Q9CPU4|MGST3: 0.1658180059554676
Q8VEK0|CC50A: 0.16579434120406708
Q9DBE8|ALG2: 0.16577973527212939
Q8R0S2|IQEC1: 0.16575271283121157
P15532|NDKA: 0.1654592901468277
Q9ES97|RTN3: 0.1652847776810329
Q99104|MYO5A: 0.16525519949694473
Q8BKX1|BAIP2: 0.16502733249217272
P06801|MAOX: 0.16491964180022478
Q8VED9|LEGL: 0.16491798063119253
Q9EQU5|SET: 0.16468911773214737
P60904|DNJC5: 0.16466926534970594
P70202|LXN: 0.1645631585270167
Q60597|ODO1: 0.1645225820442041
Q9DBS2|TPRGL: 0.1642863970870773
P12960|CNTN1: 0.1641840090354284
Q9D358|PPAC: 0.1636834628880024
Q9R0P3|ESTD: 0.16334298773047823
P23242|CXA1: 0.16309892634550738
Q9CR57|RL14: 0.16297011077404022
Q9R257|HEBP1: 0.1624892398249358
Q9Z2D6|MECP2: 0.16236295395841202
P04925|PRIO: 0.16220022031726936
Q9CQZ5|NDUA6: 0.1621389373516043
