Q9D2U9|H2B3A: 411996.0208333334
P97797|SHPS1: 410987.3854166665
Q91X97|NCALD: 407216.2395833335
P63242|IF5A1: 406742.0520833335
Q9Z1S5|SEPT3: 397775.0833333335
Q60598|SRC8: 396453.822916667
Q9CPU0|LGUL: 395692.25
Q60597|ODO1: 393724.260416667
Q60625|ICAM5: 393598.4895833335
Q9QYB8|ADDB: 392276.0729166665
O55143|AT2A2: 391236.46875
Q99L04|DHRS1: 390533.3333333333
P39053|DYN1: 390113.0
Q8BFR5|EFTU: 389740.8333333335
P60335|PCBP1: 389144.6979166665
Q9DD18|DTD1: 389000.0
O08585|CLCA: 386922.3645833335
P62774|MTPN: 385878.7708333335
B2RSH2|GNAI1: 379503.4791666665
Q8VHW2|CCG8: 379476.2708333335
P97315|CSRP1: 378736.4479166665
Q8R0A5|TCAL3: 375555.9375
Q9CQX8|RT36: 374879.84375
Q9CZB0|C560: 374236.5989583335
Q61768|KINH: 373195.8333333333
Q9DB27|MCTS1: 369766.6666666667
Q80U49|C170B: 366391.6666666667
Q7TPR4|ACTN1: 363309.364583333
Q9CQI6|COTL1: 363108.8541666665
Q9CPW4|ARPC5: 362146.46875
Q61016|GBG7: 361220.64062499977
Q8CAQ8|MIC60: 360980.0520833335
Q61792|LASP1: 360110.8645833335
O70161|PI51C: 360037.1354166665
O55042|SYUA: 359422.9166666679
Q9Z1G3|VATC1: 359063.7708333335
Q8BIZ1|ANS1B: 356483.61979166674
P48758|CBR1: 356132.9791666665
P70169|DOC2B: 355489.1979166665
Q9R0P5|DEST: 353122.2291666665
Q62311|TAF6: 346865.1041666665
Q497V5|SRBD1: 343708.3333333333
Q9D819|IPYR: 343549.8958333335
Q8C1B7|SEP11: 342041.489583333
Q8BGN8|SYNPR: 341028.10937499977
P10639|THIO: 340459.291666667
Q791V5|MTCH2: 339665.2083333335
O88746|TOM1: 336333.3333333333
Q9Z1X4|ILF3: 336125.0
Q00612|G6PD1: 336083.3333333333
