Q9QX60|DGUOK: -3.3371040297353103
P55194|3BP1: -3.328476371712052
E9Q414|APOB: -3.328022736661379
O88986|KBL: -3.327100490808353
Q8CG79|ASPP2: -3.3265557462443867
Q9Z2V5|HDAC6: -3.324129750609942
Q6ZWR4|2ABB: -3.3227191662746924
Q8BXR9|OSBL6: -3.322145750920086
Q52KR3|PRUN2: -3.3200470879753343
Q8BPU7|ELMO1: -3.317637126004216
Q8C7E9|CSTFT: -3.313332141492512
Q99LD9|EI2BB: -3.313060575219105
Q9CRD4|DBND2: -3.312619710275918
A2A7S8|K1522: -3.3122101950481873
Q922B1|MACD1: -3.311973526796601
Q8C754|VPS52: -3.311945747959017
Q8VCC9|SPON1: -3.3116660429645672
Q5U3K5|RABL6: -3.3101206444247544
Q0VF58|COJA1: -3.3088411910582725
P57716|NICA: -3.3088234306591864
Q9CTY5|MICU3: -3.306676661060121
Q7TNR9|ARHG4: -3.304904676753922
P62077|TIM8B: -3.304679763787922
P27048|RSMB: -3.304328350463989
Q9JIY5|HTRA2: -3.3028493889545425
P54285|CACB3: -3.301299250064743
Q91WA3|HDA11: -3.2994525923157507
Q9CXR1|DHRS7: -3.2984678004376162
O35639|ANXA3: -3.2976336826595856
Q8CI78|RMND1: -3.296914416130372
Q61599|GDIR2: -3.2965188542360533
Q5SV85|SYNRG: -3.2960188376468857
Q6ZPK7|LST2: -3.295572198940164
Q6ZPF4|FMNL3: -3.29467193233699
Q8C5W0|CLMN: -3.2942358442312436
Q6PGB8|SMCA1: -3.2894465804569766
P24452|CAPG: -3.288839816804321
Q6P9L6|KIF15: -3.2884402205420717
Q8VDM6|HNRL1: -3.2875837658089435
Q497V5|SRBD1: -3.287495341495007
Q8BHG2|CA123: -3.286186860897978
Q80TL7|MON2: -3.2857341735513304
P70408|CAD10: -3.2829650265210675
Q6PDC0|RUN3B: -3.280785316394801
Q04863|RELB: -3.2797608640017692
O08989|RASM: -3.279398812280609
Q9QUJ7|ACSL4: -3.277001956395389
Q91WC0|SETD3: -3.2759371397058197
Q62241|RU1C: -3.275917369477747
Q9D0G0|RT30: -3.2753947795829474
P56726|SMO: -3.2747652907906604
Q61686|CBX5: -3.271516876914287
Q9D6S7|RRFM: -3.2707497627310445
Q60759|GCDH: -3.2665662969232727
Q5FWH7|S39AC: -3.266031413517709
P23591|FCL: -3.2640708088277632
Q80UM7|MOGS: -3.2637362872082885
Q62523|ZYX: -3.2627879289466883
Q80U56|AVL9: -3.2606190942067927
Q6PDI6|MINY2: -3.2595680214756286
Q91W86|VPS11: -3.258085475567072
O54887|TSKS: -3.2570993925211416
Q9DCM2|GSTK1: -3.257080333135487
Q9D1J1|NECP2: -3.256980809521583
Q62288|TICN1: -3.255135429027967
Q61410|KGP2: -3.255112185200636
A2AVR2|MROH7: -3.2550963951434144
Q07813|BAX: -3.248169230133256
P17182|ENOA: -3.2470586149439513
P54830|PTN5: -3.244960846166029
Q9JM96|BORG4: -3.243168091085146
Q91VF2|HNMT: -3.242841302277004
Q61233|PLSL: -3.2423908804463664
Q9QZB9|DCTN5: -3.2417525107701457
Q8R5L3|VPS39: -3.2412141686625113
Q9D906|ATG7: -3.24082213924694
Q3UX62|CC114: -3.2407801966274765
E9Q8I9|FRY: -3.239765647866095
P24668|MPRD: -3.2394511003722384
Q6PDC8|MFD4A: -3.239014355012198
G3UYX5|RGS22: -3.2380124215989903
Q8R2V5|ADAP2: -3.236199639910605
Q9D1L9|LTOR5: -3.235315609938409
Q9D883|U2AF1: -3.2351186941066326
Q8CIP4|MARK4: -3.2341920355676956
Q9CQI7|RU2B: -3.233944201821551
P10711|TCEA1: -3.23360163904268
Q8VDK1|NIT1: -3.2321756706180307
Q9QYI5|DNJB2: -3.2311057356188413
P97429|ANXA4: -3.229351694855335
P60670|NPL4: -3.2268971424889297
Q9D0L4|ADCK1: -3.2268364531122713
Q99K01|PDXD1: -3.2253523000310635
Q9QZI8|SERC1: -3.220657472366328
Q9D620|RFIP1: -3.2176415396150864
P63137|GBRB2: -3.2168256610669106
Q9CQ86|MIEN1: -3.2158946901460825
Q8BV79|TRNK1: -3.2107880842364875
Q6PDI5|ECM29: -3.210112730430468
E9Q4N7|ARI1B: -3.207688468690676
Q6ZQK5|ACAP2: -3.206930306079933
Q9D9M2|UBP12: -3.2050683879189314
P17563|SBP1: -3.2049434387622955
Q61191|HCFC1: -3.203112888404396
Q8C6E0|CFA36: -3.2028848176898794
Q6NS59|F135A: -3.201398120941552
O70228|ATP9A: -3.200716061597689
O88384|VTI1B: -3.1997985899815125
P0DP27|CALM2: -3.1974447361286504
P16254|SRP14: -3.196869082942603
Q5BL07|PEX1: -3.1945166459655154
Q99M73|KRT84: -3.1897095225935037
Q9R1Z7|PTPS: -3.1887310316968365
Q9JHG6|RCAN1: -3.1862498201755365
Q9ESM3|HPLN2: -3.1831054845490794
Q62083|PICK1: -3.181599198432398
Q61781|K1C14: -3.1808116007986538
Q8K215|LYRM4: -3.1804994523092787
